p_zone,pipe_m,pipe_km,breaks_total,breaks_per_km,breaks_A,breaks_A_label,breaks_B,breaks_B_label,breaks_C,breaks_C_label,breaks_D,breaks_D_label,breaks_E,breaks_E_label,breaks_F,breaks_F_label,breaks_G,breaks_G_label,breaks_S,breaks_S_label
(unknown),33895.687,33.895687,215,6.34299,87,Full Circular,11,Split,63,Corrosion,33,Fitting,19,Joint,4,Diagonal Crack,78,Hole,3,Saddle
BANKVIEW,38225.988,38.225988,603,15.774609,293,Full Circular,31,Split,148,Corrosion,53,Fitting,106,Joint,10,Diagonal Crack,125,Hole,0,Saddle
BEARSPAW PLANT,404.833,0.404833,0,0.0,0,Full Circular,0,Split,0,Corrosion,0,Fitting,0,Joint,0,Diagonal Crack,0,Hole,0,Saddle
BELFAST,1159.91,1.15991,66,56.900971,41,Full Circular,9,Split,17,Corrosion,5,Fitting,2,Joint,5,Diagonal Crack,9,Hole,1,Saddle
BIG HILL EAST,78254.76,78.25476,85,1.086196,1,Full Circular,1,Split,23,Corrosion,33,Fitting,1,Joint,1,Diagonal Crack,52,Hole,4,Saddle
BIG HILL WEST,155727.571,155.727571,776,4.983061,14,Full Circular,2,Split,202,Corrosion,348,Fitting,13,Joint,4,Diagonal Crack,409,Hole,28,Saddle
BRITANNIA,2382.776,2.382776,24,10.072287,15,Full Circular,1,Split,5,Corrosion,1,Fitting,5,Joint,0,Diagonal Crack,3,Hole,0,Saddle
BROADCAST HILL,159894.112,159.894112,25,0.156353,1,Full Circular,0,Split,3,Corrosion,16,Fitting,1,Joint,0,Diagonal Crack,5,Hole,4,Saddle
BURNS INDUSTRIAL,12030.783,12.030783,3,0.24936,0,Full Circular,0,Split,2,Corrosion,0,Fitting,0,Joint,0,Diagonal Crack,2,Hole,1,Saddle
CAMBRIAN HEIGHTS,17945.183,17.945183,330,18.389336,205,Full Circular,27,Split,91,Corrosion,14,Fitting,24,Joint,7,Diagonal Crack,64,Hole,1,Saddle
CARMA-SDA,227.837,0.227837,0,0.0,0,Full Circular,0,Split,0,Corrosion,0,Fitting,0,Joint,0,Diagonal Crack,0,Hole,0,Saddle
CRESTMONT,8708.947,8.708947,0,0.0,0,Full Circular,0,Split,0,Corrosion,0,Fitting,0,Joint,0,Diagonal Crack,0,Hole,0,Saddle
DEER RUN,19616.877,19.616877,26,1.325389,1,Full Circular,0,Split,7,Corrosion,18,Fitting,0,Joint,1,Diagonal Crack,7,Hole,6,Saddle
EAGLE RIDGE,1845.738,1.845738,35,18.962604,11,Full Circular,1,Split,14,Corrosion,5,Fitting,0,Joint,3,Diagonal Crack,16,Hole,0,Saddle
EDWORTHY PARK,420.175,0.420175,0,0.0,0,Full Circular,0,Split,0,Corrosion,0,Fitting,0,Joint,0,Diagonal Crack,0,Hole,0,Saddle
FOOTHILLS,115009.591,115.009591,252,2.191122,23,Full Circular,2,Split,84,Corrosion,41,Fitting,7,Joint,3,Diagonal Crack,184,Hole,6,Saddle
GLENDALE,102105.608,102.105608,908,8.892753,643,Full Circular,56,Split,238,Corrosion,70,Fitting,68,Joint,22,Diagonal Crack,76,Hole,2,Saddle
GLENMORE,1213628.948,1213.628948,14385,11.852881,4883,Full Circular,560,Split,4257,Corrosion,2668,Fitting,1442,Joint,193,Diagonal Crack,5162,Hole,122,Saddle
GREENVIEW,31444.326,31.444326,600,19.081344,209,Full Circular,30,Split,159,Corrosion,59,Fitting,72,Joint,12,Diagonal Crack,239,Hole,5,Saddle
LAKEVIEW,5386.218,5.386218,108,20.051174,49,Full Circular,1,Split,25,Corrosion,3,Fitting,0,Joint,0,Diagonal Crack,58,Hole,1,Saddle
LOWER SARCEE,280253.136,280.253136,1164,4.153388,118,Full Circular,6,Split,317,Corrosion,512,Fitting,18,Joint,9,Diagonal Crack,528,Hole,47,Saddle
MAYFAIR,1573.18,1.57318,27,17.162685,11,Full Circular,4,Split,7,Corrosion,3,Fitting,0,Joint,2,Diagonal Crack,7,Hole,0,Saddle
MIDNAPORE,158196.429,158.196429,61,0.385597,23,Full Circular,5,Split,5,Corrosion,21,Fitting,4,Joint,4,Diagonal Crack,6,Hole,5,Saddle
NORTH HAVEN,1122.712,1.122712,1,0.890701,1,Full Circular,0,Split,1,Corrosion,0,Fitting,0,Joint,0,Diagonal Crack,0,Hole,0,Saddle
NORTH HILL,1181100.161,1181.100161,9661,8.179662,2718,Full Circular,313,Split,2845,Corrosion,2099,Fitting,833,Joint,122,Diagonal Crack,3956,Hole,126,Saddle
NOSE HILL,69096.692,69.096692,32,0.463119,0,Full Circular,0,Split,5,Corrosion,24,Fitting,0,Joint,0,Diagonal Crack,6,Hole,8,Saddle
NOSE HILL EAST,39122.907,39.122907,1,0.02556,0,Full Circular,0,Split,0,Corrosion,0,Fitting,1,Joint,0,Diagonal Crack,0,Hole,0,Saddle
OGDEN,516778.347,516.778347,1694,3.278001,380,Full Circular,40,Split,408,Corrosion,710,Fitting,74,Joint,22,Diagonal Crack,520,Hole,52,Saddle
PATTERSON HEIGHTS,1324.499,1.324499,0,0.0,0,Full Circular,0,Split,0,Corrosion,0,Fitting,0,Joint,0,Diagonal Crack,0,Hole,0,Saddle
PINE CREEK,15956.324,15.956324,0,0.0,0,Full Circular,0,Split,0,Corrosion,0,Fitting,0,Joint,0,Diagonal Crack,0,Hole,0,Saddle
RESEARCH PARK,21017.671,21.017671,0,0.0,0,Full Circular,0,Split,0,Corrosion,0,Fitting,0,Joint,0,Diagonal Crack,0,Hole,0,Saddle
RIVERLANDS,12219.351,12.219351,0,0.0,0,Full Circular,0,Split,0,Corrosion,0,Fitting,0,Joint,0,Diagonal Crack,0,Hole,0,Saddle
SCENIC BOW,1037.106,1.037106,1,0.964222,0,Full Circular,0,Split,1,Corrosion,0,Fitting,0,Joint,0,Diagonal Crack,0,Hole,0,Saddle
SPY HILL EAST,325231.211,325.231211,486,1.494322,150,Full Circular,13,Split,122,Corrosion,128,Fitting,10,Joint,4,Diagonal Crack,182,Hole,23,Saddle
SPY HILL WEST,197093.317,197.093317,2487,12.618388,705,Full Circular,54,Split,782,Corrosion,436,Fitting,29,Joint,29,Diagonal Crack,1308,Hole,26,Saddle
STARLIGHT,5043.515,5.043515,0,0.0,0,Full Circular,0,Split,0,Corrosion,0,Fitting,0,Joint,0,Diagonal Crack,0,Hole,0,Saddle
STRATHCONA,52007.222,52.007222,25,0.480702,0,Full Circular,1,Split,10,Corrosion,13,Fitting,1,Joint,0,Diagonal Crack,9,Hole,1,Saddle
SUNALTA,3223.479,3.223479,51,15.821418,36,Full Circular,3,Split,14,Corrosion,10,Fitting,0,Joint,2,Diagonal Crack,1,Hole,0,Saddle
TED'S OWN,332.695,0.332695,1,3.005755,0,Full Circular,0,Split,0,Corrosion,0,Fitting,1,Joint,0,Diagonal Crack,0,Hole,0,Saddle
TOP HILL,194560.059,194.560059,24,0.123355,0,Full Circular,1,Split,10,Corrosion,13,Fitting,1,Joint,0,Diagonal Crack,7,Hole,4,Saddle
UNIVERSITY HEIGHTS,2958.099,2.958099,22,7.437208,14,Full Circular,0,Split,7,Corrosion,2,Fitting,1,Joint,0,Diagonal Crack,5,Hole,0,Saddle
UPPER SARCEE,57231.822,57.231822,412,7.198792,1,Full Circular,0,Split,112,Corrosion,285,Fitting,4,Joint,1,Diagonal Crack,114,Hole,26,Saddle
VALLEY WOODS,1256.26,1.25626,0,0.0,0,Full Circular,0,Split,0,Corrosion,0,Fitting,0,Joint,0,Diagonal Crack,0,Hole,0,Saddle
WEST CALGARY,217948.916,217.948916,2607,11.961519,1455,Full Circular,140,Split,625,Corrosion,170,Fitting,377,Joint,48,Diagonal Crack,484,Hole,14,Saddle
WESTVIEW,46897.814,46.897814,1,0.021323,0,Full Circular,1,Split,0,Corrosion,0,Fitting,0,Joint,0,Diagonal Crack,0,Hole,0,Saddle
WILDWOOD,17860.027,17.860027,241,13.49382,174,Full Circular,25,Split,60,Corrosion,14,Fitting,11,Joint,9,Diagonal Crack,18,Hole,3,Saddle
